Type,Published,Is Featured,Visibility,Tax Status,In Stock,Backorder,Sold Individually,Allow Customer Reviews,Parent,Name,Regular Price,Description,SKU,Image,Attribute 1 Name,Attribute 1 Value,Attribute 1 Visibility,Attribute 1 Global,Attribute 2 Name,Attribute 2 Value,Attribute 1 Visibility,Attribute 1 Global
variable,1,0,visible,taxable,1,0,0,,,testing,,testing,,,Size,,0,1,Color,,0,1
variable,1,0,visible,taxable,1,0,0,,,GLITTER PRINT FIT AND FLARE GOWN CDJ811,,"<p>Gold and black glitter print gown, fit and flare mermaid with deep plunging neckline and open back.</p>",cdj811,https://cdn.shopify.com/s/files/1/0027/1076/5666/products/j811_3_1_a380a204-448d-4dee-9dfb-c3049bfb16ef.jpg?v=1614695544,Size,"4,6,8,10,12,14,16,18,20,22,24",0,1,Color,4GOLD-BLACK,0,1
variation,1,0,visible,taxable,1,0,0,,cdj811,,,,,https://cdn.shopify.com/s/files/1/0027/1076/5666/products/j811_2_1_92f3fac7-95f9-49d9-ab52-671ab85403ea.jpg?v=1614695544,Size,4,0,1,Color,GOLD-BLACK,0,1
variation,1,0,visible,taxable,1,0,0,,cdj811,,,,,https://cdn.shopify.com/s/files/1/0027/1076/5666/products/j811_1_1_d0356d52-fc4f-4cea-b1e6-6cf0d57f7b8e.jpg?v=1614695544,Size,6,0,1,Color,GOLD-BLACK,0,1
variation,1,0,visible,taxable,1,0,0,,cdj811,,,,,,Size,8,0,1,Color,GOLD-BLACK,0,1
variation,1,0,visible,taxable,1,0,0,,cdj811,,,,,,Size,10,0,1,Color,GOLD-BLACK,0,1
variation,1,0,visible,taxable,1,0,0,,cdj811,,,,,,Size,12,0,1,Color,GOLD-BLACK,0,1
variation,1,0,visible,taxable,1,0,0,,cdj811,,,,,,Size,14,0,1,Color,GOLD-BLACK,0,1
variation,1,0,visible,taxable,1,0,0,,cdj811,,,,,,Size,16,0,1,Color,GOLD-BLACK,0,1
variation,1,0,visible,taxable,1,0,0,,cdj811,,,,,,Size,18,0,1,Color,GOLD-BLACK,0,1
variation,1,0,visible,taxable,1,0,0,,cdj811,,,,,,Size,20,0,1,Color,GOLD-BLACK,0,1
variation,1,0,visible,taxable,1,0,0,,cdj811,,,,,,Size,22,0,1,Color,GOLD-BLACK,0,1
variation,1,0,visible,taxable,1,0,0,,cdj811,,,,,,Size,24,0,1,Color,GOLD-BLACK,0,1
variable,1,0,visible,taxable,1,0,0,,,SEQUIN FITTED EVENING GOWN CDCH198,,"<p>Fitted sequin evening gown with gathered wasitline, weaved v-neckline, cap sleeves and leg slit.</p>",cdch198,https://cdn.shopify.com/s/files/1/0027/1076/5666/products/ch198_gold_black_3_bb19655c-7e35-4557-a66e-2e6f934b9081.jpg?v=1614695080,Size,"XS,M,L,XL,2X,3X,4X,5X,6X,XXS",0,1,Color,"XS,M,L,XL,2X,3X,4X,5X,6X,XXSXSBLACK,BURGUNDY,EMERALD,GOLD,GOLD-BLACK",0,1
variation,1,0,visible,taxable,1,0,0,,cdch198,,,,,https://cdn.shopify.com/s/files/1/0027/1076/5666/products/ch198_black__2_c6bdd4d4-32f3-455e-a1d8-d384b636f67e.jpg?v=1614695080,Size,XS,0,1,Color,BLACK,0,1
variation,1,0,visible,taxable,1,0,0,,cdch198,,,,,https://cdn.shopify.com/s/files/1/0027/1076/5666/products/ch198_black_1_1_620c72d0-960d-49e4-b1dd-20682bf9db49.jpg?v=1614695080,Size,S,0,1,Color,BLACK,0,1
variation,1,0,visible,taxable,1,0,0,,cdch198,,,,,https://cdn.shopify.com/s/files/1/0027/1076/5666/products/ch198_burgundy_2_a055ba8d-b20b-4075-9b94-ce49991ff840.jpg?v=1614695080,Size,M,0,1,Color,BLACK,0,1
variation,1,0,visible,taxable,1,0,0,,cdch198,,,,,https://cdn.shopify.com/s/files/1/0027/1076/5666/products/ch198_emerald_2_3464c29c-7c34-4891-89f1-b894ccb01fb0.jpg?v=1614695080,Size,L,0,1,Color,BLACK,0,1
variation,1,0,visible,taxable,1,0,0,,cdch198,,,,,https://cdn.shopify.com/s/files/1/0027/1076/5666/products/ch198_gold_2_618d2d0c-4401-499d-b6e9-f6c4e1551cd8.jpg?v=1614695080,Size,XL,0,1,Color,BLACK,0,1
variation,1,0,visible,taxable,1,0,0,,cdch198,,,,,https://cdn.shopify.com/s/files/1/0027/1076/5666/products/ch198-gold_1_2_9b40d0d1-07f2-426a-a02c-3ba24dcce49d.jpg?v=1614695080,Size,2X,0,1,Color,BLACK,0,1
variation,1,0,visible,taxable,1,0,0,,cdch198,,,,,https://cdn.shopify.com/s/files/1/0027/1076/5666/products/ch198_gold_black_2_3_cd7ca7d3-b476-412a-a5aa-ceb01d6788df.jpg?v=1614695080,Size,3X,0,1,Color,BLACK,0,1
variation,1,0,visible,taxable,1,0,0,,cdch198,,,,,,Size,4X,0,1,Color,BLACK,0,1
variation,1,0,visible,taxable,1,0,0,,cdch198,,,,,,Size,5X,0,1,Color,BLACK,0,1
variation,1,0,visible,taxable,1,0,0,,cdch198,,,,,,Size,6X,0,1,Color,BLACK,0,1
variation,1,0,visible,taxable,1,0,0,,cdch198,,,,,,Size,XXS,0,1,Color,BURGUNDY,0,1
variation,1,0,visible,taxable,1,0,0,,cdch198,,,,,,Size,XS,0,1,Color,BURGUNDY,0,1
variation,1,0,visible,taxable,1,0,0,,cdch198,,,,,,Size,S,0,1,Color,BURGUNDY,0,1
variation,1,0,visible,taxable,1,0,0,,cdch198,,,,,,Size,M,0,1,Color,BURGUNDY,0,1
variation,1,0,visible,taxable,1,0,0,,cdch198,,,,,,Size,L,0,1,Color,BURGUNDY,0,1
variation,1,0,visible,taxable,1,0,0,,cdch198,,,,,,Size,XL,0,1,Color,BURGUNDY,0,1
variation,1,0,visible,taxable,1,0,0,,cdch198,,,,,,Size,2X,0,1,Color,BURGUNDY,0,1
variation,1,0,visible,taxable,1,0,0,,cdch198,,,,,,Size,3X,0,1,Color,BURGUNDY,0,1
variation,1,0,visible,taxable,1,0,0,,cdch198,,,,,,Size,4X,0,1,Color,BURGUNDY,0,1
variation,1,0,visible,taxable,1,0,0,,cdch198,,,,,,Size,5X,0,1,Color,BURGUNDY,0,1
variation,1,0,visible,taxable,1,0,0,,cdch198,,,,,,Size,6X,0,1,Color,BURGUNDY,0,1
variation,1,0,visible,taxable,1,0,0,,cdch198,,,,,,Size,XXS,0,1,Color,EMERALD,0,1
