Type,Published,Is Featured,Visibility,Tax Status,In Stock,Backorder,Sold Individually,Allow Customer Reviews,Parent,Name,Regular Price,Description,SKU,Image,Attribute 1 Name,Attribute 1 Value,Attribute 1 Visibility,Attribute 1 Global,Attribute 2 Name,Attribute 2 Value,Attribute 1 Visibility,Attribute 1 Global
<li></li>
<li>Quick order procession</li></ul>",tk19k69039u10,https://cdn.shopify.com/s/files/1/0027/1076/5666/products/1_org_zoom_e719c389-1bf1-4587-9ecc-b2c957c45367.jpg?v=1574958093,Size,"M,L,XL",0,1,Color,GRAY,0,1
variation,1,0,visible,taxable,1,0,0,,tk19k69039u10,,220,,,https://cdn.shopify.com/s/files/1/0027/1076/5666/products/TK-Size-Chart_2ef2d5f1-b7c5-4caf-937a-bd68d892a46a.jpg?v=1574958094,Size,M,0,1,Color,GRAY,0,1
variation,1,0,visible,taxable,1,0,0,,tk19k69039u10,,220,,,https://cdn.shopify.com/s/files/1/0027/1076/5666/products/2_org_zoom_2dc3cc16-5f47-4379-acbf-7b20d93521f0.jpg?v=1574958094,Size,L,0,1,Color,GRAY,0,1
variation,1,0,visible,taxable,1,0,0,,tk19k69039u10,,220,,,https://cdn.shopify.com/s/files/1/0027/1076/5666/products/5_org_zoom_c7e3aaa5-06ae-4fb2-8c9a-6e11d2c0cebd.jpg?v=1574958094,Size,XL,0,1,Color,GRAY,0,1
variable,1,0,visible,taxable,1,0,0,,,Red One Shoulder Short Sheath Cocktail Dress TKTWOAW20EL1849,25,"<p>Red One Shoulder Sheath Shape Short Evening Prom Bridesmaid Dress with open back and zipper closure.</p><ul class=""a-unordered-list a-vertical a-spacing-none""><li><span class=""a-list-item"">Material: 100% Polyester<br></span></li><li><span class=""a-list-item"">One Shoulder <br></span></li><li><span class=""a-list-item"">Short Dress <br></span></li><li>Sheath Silhouette <span class=""a-list-item"">Long </span>Dress</li><li>åÊConcealed Back Zipper makes it easy to put on and take off.</li><li><span class=""a-list-item"">Occasion: Formal, Evening, Guest of Wedding, Gala, Party, Banquet and Special Occasion.</span></li><li><span class=""a-list-item"">Garment Care:åÊ<span>Dry Clean SuggestedåÊ</span></span></li></ul><p></p><ul><li></li>
<li></li>
<li>Quick order procession</li></ul>",tktwoaw20el1849,https://cdn.shopify.com/s/files/1/0027/1076/5666/products/1_org_zoom_b0f4266c-64bd-4d72-b7c7-eb0fa1505be2.jpg?v=1574959551,Size,,0,1,Color,,0,1
variable,1,0,visible,taxable,1,0,0,,,Red Sequined V-Neckline Sleeveless Marmaid Shape TK1460,102,"<p>Red V-Neckline Sequined Mermaid Shape Deep V-Back Long Evening Prom Bridesmaid Dress with open back and zipper closure.</p><ul class=""a-unordered-list a-vertical a-spacing-none""><li><span class=""a-list-item"">Material: 100% Polyester<br></span></li><li><span class=""a-list-item"">V-Neckline <br></span></li><li><span class=""a-list-item"">Sleeveless Long Dress <br></span></li><li>Mermaid Silhouette <span class=""a-list-item"">Long </span>Dress</li><li>åÊConcealed Back Zipper makes it easy to put on and take off.</li><li><span class=""a-list-item"">Occasion: Formal, Evening, Guest of Wedding, Gala, Party, Banquet and Special Occasion.</span></li><li><span class=""a-list-item"">Garment Care:åÊ<span>Dry Clean SuggestedåÊ</span></span></li></ul><p></p><ul><li></li>
<li></li>
<li>Quick order procession</li></ul>",tk1460,https://cdn.shopify.com/s/files/1/0027/1076/5666/products/1_org_zoom_68002149-bbbe-494a-bf05-1dcf7a2a4e47.jpg?v=1574959597,Size,"M,L",0,1,Color,RED,0,1
variation,1,0,visible,taxable,1,0,0,,tk1460,,102,,,https://cdn.shopify.com/s/files/1/0027/1076/5666/products/TK-Size-Chart_fd0300fc-8893-4b46-af1b-d02ea4b6b2e4.jpg?v=1574956987,Size,M,0,1,Color,RED,0,1
variation,1,0,visible,taxable,1,0,0,,tk1460,,102,,,https://cdn.shopify.com/s/files/1/0027/1076/5666/products/3_org_zoom_7ac25224-c5e5-444b-aced-e604ed90a9f4.jpg?v=1574956988,Size,L,0,1,Color,RED,0,1
variation,1,0,visible,taxable,1,0,0,,tk1460,,,,,https://cdn.shopify.com/s/files/1/0027/1076/5666/products/4_org_zoom_82a1e870-6272-484b-9f12-5a0372805905.jpg?v=1574956988,Size,,0,1,Color,,0,1
variable,1,0,visible,taxable,1,0,0,,,One Shoulder Blue Marmaid Shape Long Dress TK3847MKSP,55,"<p>Blue One Shoulder Lace Top Mermaid Shape Long Evening Prom Bridesmaid Dress with open back and zipper closure.</p><ul class=""a-unordered-list a-vertical a-spacing-none""><li><span class=""a-list-item"">Material: 100% Polyester<br></span></li><li><span class=""a-list-item"">One Shoulder<br></span></li><li><span class=""a-list-item"">One side long sleeve dress<br></span></li><li>Mermaid Silhouette <span class=""a-list-item"">Long </span>Dress</li><li>åÊConcealed Back Zipper makes it easy to put on and take off.</li><li><span class=""a-list-item"">Occasion: Formal, Evening, Guest of Wedding, Gala, Party, Banquet and Special Occasion.</span></li><li><span class=""a-list-item"">Garment Care:åÊ<span>Dry Clean SuggestedåÊ</span></span></li></ul><p></p><ul><li></li>
<li></li>
<li>Quick order procession</li></ul>",tk3847mksp,https://cdn.shopify.com/s/files/1/0027/1076/5666/products/1_org_zoom_0d79cb56-c314-413c-9e2a-73f8da6b1fa8.jpg?v=1574959874,Size,,0,1,Color,,0,1
variable,1,0,visible,taxable,1,0,0,,,Bateau Neckline Silver Black Sequined Long Dress TK19K69036U10,138,"<p>Silver Black Bateau Neckline Sequined Mermaid Shape Long Evening Prom Bridesmaid Dress with open back and zipper closure.</p><ul class=""a-unordered-list a-vertical a-spacing-none""><li><span class=""a-list-item"">Material: 100% Polyester<br></span></li><li><span class=""a-list-item"">Bateau Neckline <br></span></li><li><span class=""a-list-item"">Cap Sleeves Long Dress <br></span></li><li>Mermaid Silhouette <span class=""a-list-item"">Long </span>Dress</li><li><span class=""a-list-item"">Bateau Neckline</span>, Mermaid Silhouette, <span class=""a-list-item"">Long </span>Length, Concealed Back Zipper makes it easy to put on and take off.</li><li><span class=""a-list-item"">Occasion: Formal, Evening, Guest of Wedding, Gala, Party, Banquet and Special Occasion.</span></li><li><span class=""a-list-item"">Garment Care:åÊ<span>Dry Clean SuggestedåÊ</span></span></li></ul><p></p><ul><li></li>
<li></li>
<li>Quick order procession</li></ul>",tk19k69036u10,https://cdn.shopify.com/s/files/1/0027/1076/5666/products/1_org_zoom_b914b2eb-c127-4418-907a-249aac2b924a.jpg?v=1574952288,Size,"M,L",0,1,Color,SILVER BLACK,0,1
variation,1,0,visible,taxable,1,0,0,,tk19k69036u10,,95,,,https://cdn.shopify.com/s/files/1/0027/1076/5666/products/2_org_zoom_fc04b17d-4a7f-41d6-a0d4-13a3349d5993.jpg?v=1580919197,Size,M,0,1,Color,SILVER BLACK,0,1
variation,1,0,visible,taxable,1,0,0,,tk19k69036u10,,138,,,https://cdn.shopify.com/s/files/1/0027/1076/5666/products/3_org_zoom_47437099-d81e-485e-99e3-ecbf066bc55f.jpg?v=1580919197,Size,L,0,1,Color,SILVER BLACK,0,1
variable,1,0,visible,taxable,1,0,0,,,Blush Midi Length Long Sleeve Formal Dress TK20KEL569K115,90,"<p>Blush A-Line Shape V-Neckline Long Sleeve with belt and pleated skirt, covered backåÊ and zipper closure.</p><ul class=""a-unordered-list a-vertical a-spacing-none""><li><span class=""a-list-item"">Material: 100% Polyester<br></span></li><li><span class=""a-list-item"">V-Neckline <br></span></li><li><span class=""a-list-item"">Long Sleeve Dress <br></span></li><li>A-LIne Silhouette Short<span class=""a-list-item""> </span>Dress</li><li><span class=""a-list-item"">V-Neckline</span>, Short<span class=""a-list-item""> </span>Length, Concealed Back Zipper makes it easy to put on and take off.</li><li><span class=""a-list-item"">Occasion: Formal, Evening, Guest of Wedding, Gala, Party, Banquet and Special Occasion.</span></li><li><span class=""a-list-item"">Garment Care:åÊ<span>Dry Clean SuggestedåÊ</span></span></li></ul><p></p><ul><li></li>
<li></li>
<li>Quick order procession</li></ul>",tk20kel569k115,https://cdn.shopify.com/s/files/1/0027/1076/5666/products/3_org_zoom_ffd037b5-d4b0-4fc6-b04b-fbd5f1483cf0.jpg?v=1574952464,Size,"L,XL",0,1,Color,PURPLE,0,1
variation,1,0,visible,taxable,1,0,0,,tk20kel569k115,,90,,,https://cdn.shopify.com/s/files/1/0027/1076/5666/products/TK-Size-Chart_dd785209-d2cb-45c9-a21e-a2c76d5e7228.jpg?v=1574872946,Size,L,0,1,Color,PURPLE,0,1
variation,1,0,visible,taxable,1,0,0,,tk20kel569k115,,90,,,https://cdn.shopify.com/s/files/1/0027/1076/5666/products/4_org_zoom_3fd7c422-e4e5-4b3b-a0b9-c96f5429b647.jpg?v=1574872946,Size,XL,0,1,Color,PURPLE,0,1
